Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"SAMSUNG Galaxy A03 (Black, 32 GB)","8,488",3 GB RAM | 32 GB ROM,48MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc UMS9230 Processor,5000 mAh Lithium Ion Battery,4.1
"Tecno Spark 8C (Magnet Black, 64 GB)","9,135",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,4.1
"oppo A17K (Gold, 64 GB)","9,490",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.66 cm (6.56 inch) Display,MTK Helio G35 Processor,5000 mAh Battery,4.5
"Tecno Spark 9T (Atlantic Blue, 64 GB)","9,189",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,4.4
"SAMSUNG Galaxy A03 (Blue, 32 GB)","7,990",3 GB RAM | 32 GB ROM,48MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc UMS9230 Processor,5000 mAh Lithium Ion Battery,4.1
"realme C21Y (Cross Blue, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor,5000 mAh Battery,4.6
"Infinix Hot 11 2022 (Aurora Green, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13 MP + 2 MP Depth Lens | 8MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,UniSoc T610 Processor,5000 mAh Li-ion Polymer Battery,4.2
"Infinix Hot 11 2022 (Polar Black, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13 MP + 2 MP Depth Lens | 8MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,UniSoc T610 Processor,5000 mAh Li-ion Polymer Battery,4.2
"Micromax IN Note 1 (Green, 128 GB)","9,950",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,48MP + 5MP + 2MP + 2MP | 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,MediaTek Helio G85 (MT6769V/CZ) Processor,5000 mAh Li-Polymer Battery,4.1
"OPPO A12 (Blue, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P35 Processor,4230 mAh Battery,4.4
"Infinix Hot 11 2022 (Sunset Gold, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13 MP + 2 MP Depth Lens | 8MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,UniSoc T610 Processor,5000 mAh Li-ion Polymer Battery,4.2
"OPPO A16k (Midnight Black, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 (MT6765) Processor,4230 mAh Battery,4.2
